time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,time_VF,VF_error_before,VF_error_after,eval_score
112.44668197631836,-4.364218592519053,2.2157320761478942,14.470453506909882,-7.54702771282462,196.21037654189445,0.1,0.4337890148162842,11.879061937332153,0.055902794,0.07400354,-4.364218592519053,0.0,27.29408597946167,0.9929861451755783,0.3323995512107771,-3.6672433060939476
96.28877520561218,-1.1654907663700556,47.57345052624859,669.7923782074008,-7.309675753432939,186.91005736370033,0.1,0.6802079677581787,11.969835996627808,0.05258917,0.09097958,-4.0443458099041525,0.5,35.69906759262085,1.002516389174684,0.9713849825158558,-3.6698667340473237
102.958083152771,-4.129173247599716,2.9514024932595326,26.5970630084596,-7.127349814057245,223.75042597747333,0.1,0.6454360485076904,8.396878719329834,0.053936444,0.041607384,-4.052828553673709,0.0,80.43813967704773,3.992096311068817,0.5360704134671003,-3.666365075667418
100.9856071472168,-2.120285825444663,19.04408807778927,242.76914254480351,-8.074741091747455,196.53156140059917,0.1,0.61051344871521,13.087121486663818,0.05395722,0.06154433,-3.8595742808508047,0.0,83.62836194038391,0.9919507364469058,0.943276221883077,-3.6184256376927437
102.53528141975403,-0.3641792569795797,47.56595463589783,662.7763354671216,-7.270143015563831,161.74583602441567,0.1,0.7920324802398682,11.907520055770874,0.05089362,0.07937644,-3.510034778463682,0.5,85.32182550430298,0.9820677948708985,0.8936432702194097,-3.4600102070324685
97.05483603477478,-3.8124715223278316,5.108262347495596,45.808242430041325,-12.189682513257353,199.99936588293664,0.1,0.6928880214691162,11.28329610824585,0.0500078,0.03918008,-3.540278452850097,0.0,88.37119245529175,3.7001370263614874,0.7126479082399806,1.0675745811727786
87.48429036140442,-4.344394859067413,3.487230563919364,32.425344196225545,-11.226320687276306,198.3071965076367,0.1,0.8361997604370117,12.958750009536743,0.051786542,0.06955997,-3.6206900934718287,0.0,85.43753361701965,0.6861003738286342,0.5516981544259211,1.8528472058524699
102.42542934417725,-0.01845922611590254,29.39459811844525,287.9511678597959,-11.489899055958912,208.27086166078777,0.1,0.7046875953674316,11.392602920532227,0.045010533,0.06461345,-3.260467006736236,0.0,87.02172017097473,0.9693364265111569,0.7964069986381881,2.1073527195273143
103.57177543640137,1.2891164765090801,64.86802527794492,904.804579710227,-8.23110887083458,216.1254491493274,0.1,0.45013976097106934,7.240405321121216,0.052205574,0.04417597,-2.8055086584117044,0.5,83.4278666973114,0.9231277598095173,0.8459527655804941,2.278380971083172
103.94304919242859,0.5463440568418022,41.498230998040974,560.1967100029251,-13.911747492840842,209.4032017852937,0.1,0.6865684986114502,11.83979344367981,0.051853545,0.050981563,-2.470323386886354,0.5,65.98443245887756,1.105089175630511,0.9581770314231767,3.319318554212284
103.1210367679596,0.36096003818566547,36.74623168011979,467.62875860738467,-10.670134432489181,213.6314772494685,0.1,0.5972166061401367,12.26943826675415,0.047806706,0.05139917,-2.1871950443791524,0.0,71.03107118606567,0.7853969530096141,0.653566275884733,4.3104569713018
117.38584017753601,-2.360809834558198,12.305802092722287,102.55879166970239,-14.504684317435707,208.0261652156132,0.1,0.692044734954834,11.972102403640747,0.051589824,0.045748554,-2.204556523397057,0.0,77.5335955619812,1.3201521766470146,0.751985998796528,2.685469613575616
100.78658103942871,1.3086977768926034,38.39407163127111,418.39954816192954,-14.995051910638182,202.4959007222161,0.1,0.6308982372283936,10.4107825756073,0.052650377,0.07393462,-1.853231093368091,0.0,78.16070652008057,0.8634398926834348,0.7816494931859732,4.744079122828
95.94708037376404,-1.4573799502529732,20.98022641928096,214.76618424181842,-14.584048029083469,214.3765826676674,0.1,0.9090054035186768,11.436306953430176,0.049959227,0.04749787,-1.8136459790565793,0.0,81.46785378456116,0.8119712368203823,0.6851588051091417,-0.9353866307141797
102.91643476486206,3.7388712572061427,61.34122692739815,777.1903598462785,-16.56762070005894,218.04376213157835,0.1,0.6328740119934082,12.572640419006348,0.047627605,0.066692084,-1.2583942554303071,0.5,80.80227518081665,0.9134888227195043,0.8285169849280055,-2.1474541236929423
